"Wavelength (nm)","Ïƒ (cm^2)"
0.1,6.00E-23
3.0,1.20E-18
3.1,5.00E-19
4.1,1.10E-18
4.3,1.20E-19
5.0,1.80E-19
10.0,9.20E-19
20.0,3.65E-18
30.0,7.33E-18
40.0,1.12E-17
50.0,1.62E-17
60.0,2.06E-17
70.0,2.43E-17
80.0,2.70E-17
90.0,1.56E-17
91.12,1.55E-17
91.2,1.55E-17
105.0,1.46E-17
105.15,1.46E-17
105.27,2.06E-17
105.58,1.45E-17
105.9,2.26E-17
106.01,2.05E-17
106.33,2.33E-17
106.46,2.03E-17
106.64,2.55E-17
106.79,1.88E-17
106.88,2.89E-17
107.0,2.69E-17
107.33,6.38E-17
107.56,3.77E-17
107.74,5.89E-17
108.09,2.79E-17
108.2,2.85E-17
108.39,2.49E-17
108.57,3.33E-17
108.89,2.15E-17
109.03,4.36E-17
109.45,1.91E-17
109.83,2.47E-17
110.33,1.74E-17
110.5,2.82E-17
110.7,2.37E-17
110.81,2.42E-17
111.06,2.19E-17
111.15,3.68E-17
111.43,2.22E-17
112.17,8.16E-17
112.58,4.46E-17
112.66,4.51E-17
113.07,3.73E-17
113.54,4.55E-17
113.69,4.32E-17
113.93,4.43E-17
114.11,4.17E-17
114.29,4.36E-17
115.13,3.61E-17
115.61,4.51E-17
117.22,1.73E-17
117.45,1.67E-17
117.74,2.24E-17
118.03,1.97E-17
118.41,2.89E-17
118.53,2.90E-17
118.94,3.69E-17
119.52,2.50E-17
119.71,2.87E-17
120.38,2.03E-17
120.76,2.82E-17
121.05,2.32E-17
121.5,4.24E-17
121.98,3.66E-17
122.31,2.64E-17
122.41,2.54E-17
122.9,1.72E-17
123.07,2.06E-17
123.42,1.16E-17
123.96,6.56E-18
124.6,4.32E-18
124.87,4.32E-18
125.82,1.83E-18
127.0,1.11E-18
129.03,2.14E-18
129.52,1.07E-18
130.0,1.68E-18
130.14,1.91E-18
130.46,1.49E-18
130.87,1.76E-18
130.99,2.79E-18
131.09,2.68E-18
131.17,3.10E-18
131.48,2.14E-18
131.62,2.64E-18
132.12,1.53E-18
132.41,3.29E-18
132.67,3.33E-18
132.84,2.56E-18
133.03,2.83E-18
133.22,2.45E-18
133.24,3.14E-18
133.71,1.72E-18
133.87,6.20E-18
133.97,5.93E-18
134.06,8.52E-18
134.44,1.87E-18
134.63,1.26E-18
134.93,2.14E-18
135.17,7.09E-18
135.4,4.68E-18
135.57,8.83E-18
135.94,2.07E-18
136.16,1.91E-18
136.29,3.56E-18
136.42,2.71E-18
136.58,4.95E-18
136.71,3.48E-18
136.79,2.46E-17
137.22,2.33E-18
137.35,2.49E-18
137.78,1.15E-18
138.05,2.64E-18
138.21,2.54E-17
138.75,1.68E-18
139.2,8.79E-19
139.69,3.10E-18
139.72,2.86E-17
140.0,4.28E-18
140.8,7.27E-19
141.15,1.26E-18
141.24,2.53E-17
141.66,2.41E-18
142.0,2.60E-18
142.63,6.51E-19
142.87,2.14E-18
142.9,1.51E-17
143.39,1.80E-18
144.43,8.43E-19
144.68,1.30E-18
144.77,1.12E-17
145.05,1.53E-18
146.3,5.35E-19
146.48,1.22E-18
146.6,5.93E-18
146.81,1.65E-18
147.07,8.43E-19
148.3,5.76E-19
148.45,3.71E-18
148.6,7.63E-19
150.23,6.87E-19
150.31,1.87E-18
150.56,4.21E-19
152.27,4.95E-19
152.4,7.63E-19
152.54,4.60E-19
155.0,3.82E-19
156.1,2.53E-19
156.45,2.65E-19
156.75,2.10E-19
157.55,2.90E-19
158.7,1.71E-19
159.2,2.65E-19
160.7,1.39E-19
161.35,2.65E-19
162.5,1.05E-19
163.25,2.36E-19
164.5,6.34E-20
165.25,2.01E-19
166.6,4.60E-20
167.05,1.96E-19
167.3,1.45E-19
167.6,1.42E-19
168.4,4.28E-20
168.45,5.04E-20
168.8,3.11E-20
169.05,1.03E-19
169.15,9.19E-20
169.35,1.71E-19
170.8,1.59E-20
171.05,3.03E-20
171.15,2.41E-20
171.4,1.33E-19
171.6,5.26E-20
171.85,1.30E-19
172.3,2.36E-20
172.6,4.46E-20
173.45,1.05E-20
173.85,1.27E-19
174.25,2.25E-20
174.4,9.19E-20
175.15,1.00E-20
175.45,2.36E-20
175.95,6.83E-21
176.25,1.00E-19
176.9,7.99E-21
177.15,5.26E-20
177.45,7.32E-21
178.0,5.26E-21
178.15,1.33E-20
178.55,2.10E-21
178.75,6.51E-21
178.85,5.40E-21
178.95,4.46E-20
179.25,5.18E-21
179.3,8.97E-21
179.7,1.63E-21
179.9,2.01E-20
180.25,1.75E-21
180.5,3.90E-21
180.8,2.65E-21
180.85,7.45E-21
181.25,2.41E-21
181.45,6.20E-21
181.7,2.90E-21
181.85,1.00E-20
182.25,2.47E-21
182.35,4.60E-21
182.65,1.33E-21
182.9,4.95E-21
183.4,1.05E-21
183.6,1.49E-21
183.75,1.10E-21
183.95,3.41E-21
184.1,1.13E-21
184.35,3.33E-21
184.55,1.24E-21
184.85,5.76E-21
185.25,1.45E-21
185.5,2.01E-21
185.9,8.39E-22
186.1,1.52E-21
186.45,5.53E-22
186.6,9.59E-22
186.85,4.46E-22
187.05,1.91E-21
187.25,6.96E-22
187.4,1.59E-21
187.65,4.95E-22
188.05,1.91E-21
188.55,3.33E-22
188.65,4.60E-22
189.0,2.71E-22
189.15,3.33E-22
189.5,2.15E-22
189.8,3.65E-22
190.05,2.71E-22
190.25,5.40E-22
190.5,3.65E-22
190.7,6.83E-22
191.2,2.71E-22
191.45,5.18E-22
191.9,1.63E-22
192.35,1.56E-22
192.55,2.36E-22
192.7,1.59E-22
193.15,1.59E-22
193.25,2.15E-22
193.65,1.56E-22
193.95,2.10E-22
194.1,1.71E-22
194.3,2.15E-22
194.7,1.56E-22
195.0,1.79E-22
